embedder,recT,recF,prec
w2v,0.8702928870292888,0.6177685950413223,0.7602172740722988
d2v,0.6799163179916318,0.7933884297520661,0.7398948406178114
BERT,0.8117154811715481,0.6632231404958677,0.7425980632426776
AE1w2v,0.893305439330544,0.5578512396694215,0.7536340705964687
AE1BERT,0.8326359832635983,0.6973140495867769,0.7696645276939235
AE1BERTtuned,0.7907949790794979,0.6993801652892562,0.7470064331058277
distBERT,0.8075313807531381,0.6601239669421488,0.7388042241505844
