embedder,recT,recF,prec
w2v,0.8682008368200836,0.5960743801652892,0.750269408164145
d2v,0.6673640167364017,0.8171487603305785,0.748038635370394
BERT,0.8274058577405857,0.6849173553719008,0.7612199830741564
AE1w2v,0.895397489539749,0.5320247933884298,0.7456663374884323
AE1BERT,0.8368200836820083,0.6797520661157025,0.7645372645372646
AE1BERTtuned,0.7918410041841004,0.6859504132231405,0.7414434446612927
distBERT,0.8211297071129707,0.6859504132231405,0.758027196296113
