Metric,Average,Std Dev,Avg ± Std,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
Recall (False),0.8301,0.0747,0.8301 ± 0.0747,0.8488,0.8159,0.9587,0.7947,0.7323
Recall (True),0.7147,0.1759,0.7147 ± 0.1759,0.6688,0.8245,0.3947,0.7915,0.8942
Accuracy,0.7724,0.0524,0.7724 ± 0.0524,0.7589,0.8202,0.6767,0.7931,0.8132
Precision,0.7923,0.0259,0.7923 ± 0.0259,0.7675,0.8202,0.7592,0.7931,0.8217
F1-score,0.7662,0.0626,0.7662 ± 0.0626,0.7569,0.8202,0.6488,0.7931,0.8120
Recall (Macro),0.7724,0.0524,0.7724 ± 0.0524,0.7588,0.8202,0.6767,0.7931,0.8132
