Metric,Average,Std Dev,Avg ± Std,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
Recall (False),0.7334,0.0550,0.7334 ± 0.0550,0.7421,0.7196,0.8159,0.7450,0.6444
Recall (True),0.8650,0.0636,0.8650 ± 0.0636,0.8360,0.9323,0.7608,0.8677,0.9280
Accuracy,0.7992,0.0152,0.7992 ± 0.0152,0.7890,0.8260,0.7884,0.8063,0.7862
Precision,0.8089,0.0187,0.8089 ± 0.0187,0.7916,0.8415,0.7892,0.8110,0.8113
F1-score,0.7976,0.0154,0.7976 ± 0.0154,0.7885,0.8240,0.7882,0.8056,0.7819
Recall (Macro),0.7992,0.0152,0.7992 ± 0.0152,0.7890,0.8260,0.7884,0.8063,0.7862
