Metric,Average,Std Dev,Avg ± Std,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
Recall (False),0.8085,0.0691,0.8085 ± 0.0691,0.8404,0.8106,0.7386,0.7333,0.9196
Recall (True),0.7808,0.1420,0.7808 ± 0.1420,0.8169,0.7611,0.8963,0.9111,0.5185
Accuracy,0.7946,0.0406,0.7946 ± 0.0406,0.8287,0.7858,0.8175,0.8222,0.7190
Precision,0.8069,0.0283,0.8069 ± 0.0283,0.8288,0.7865,0.8256,0.8327,0.7610
F1-score,0.7917,0.0447,0.7917 ± 0.0447,0.8286,0.7857,0.8163,0.8208,0.7073
Recall (Macro),0.7946,0.0406,0.7946 ± 0.0406,0.8287,0.7858,0.8175,0.8222,0.7190
